"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"268","Ryan Nugent-Hopkins","EDM","C","225","4410.6833333333","66","155","79","76","221","57.25","538","12.27","68.12","928","714","628","266","30","68","87","41","40","1","0","27","99","160","152","193","89","722","889","44.82"
"321","Filip Forsberg","NSH","L","201","3672.6","109","111","65","46","220","71.43","730","14.93","80.06","1446","1074","728","278","44","120","85","41","40","1","0","72","165","163","340","194","104","12","12","50.00"
"652","Adam Fox","NYR","D","232","5551.6666666667","40","179","86","93","219","56.74","454","8.81","31.41","905","612","345","70","18","56","96","48","48","0","0","54","165","213","99","292","345","0","0","-"
"144","Nazem Kadri","CGY, COL","C","235","4288","81","137","80","57","218","69.65","791","10.24","89.3","1453","1113","806","324","36","118","170","66","59","4","3","117","154","126","208","412","69","1763","1858","48.69"
"708","Tage Thompson","BUF","C, R","227","4131.2833333333","114","104","58","46","218","70.55","794","14.36","75.94","1473","1099","725","248","41","107","119","47","42","3","2","59","103","120","200","203","77","1115","1532","42.12"
"1094","Tim Stützle","OTT","C, L","232","4697.05","79","139","71","68","218","70.78","597","13.23","74.66","1123","832","705","284","33","98","119","58","57","1","0","120","181","147","339","428","134","621","850","42.22"
"468","Dylan Larkin","DET","C","219","4332.1166666667","96","121","76","45","217","67.81","677","14.18","74.8","1275","942","721","268","24","96","131","49","43","3","3","75","133","142","167","191","78","2083","1769","54.08"
"693","Jordan Kyrou","STL","C","235","4151.3","95","120","78","42","215","75.70","711","13.36","64.94","1299","966","753","211","50","71","64","32","32","0","0","52","140","141","46","302","81","14","24","36.84"
"48","Brad Marchand","BOS","L","225","4266.4833333333","82","132","81","51","214","68.37","632","12.97","71.05","1122","850","651","249","39","71","249","108","102","3","3","120","226","130","274","324","75","60","93","39.22"
"205","Zach Hyman","EDM","C, L","235","4631.2666666667","117","97","56","41","214","52.07","780","15.00","124.41","1273","1065","1005","641","26","128","123","60","59","1","0","66","82","97","238","453","75","54","59","47.79"
"568","Roope Hintz","DAL","C, L","233","4103.7833333333","104","108","63","45","212","61.27","579","17.96","81.72","1013","816","716","353","35","81","80","40","40","0","0","53","124","74","165","249","131","924","795","53.75"
"33","Anze Kopitar","L.A","C","244","4939.4166666667","73","138","82","56","211","67.63","512","14.26","55.42","875","701","511","234","15","61","40","16","15","0","1","38","116","143","177","241","100","2615","2062","55.91"
"661","Alex DeBrincat","CHI, DET, OTT","L, R","246","4735.8833333333","95","116","74","42","211","65.53","770","12.34","84.96","1423","1049","828","247","39","120","98","35","29","4","2","72","125","160","276","265","105","50","71","41.32"
"139","Victor Hedman","T.B","D","236","5789.8166666667","42","168","89","79","210","49.88","572","7.34","36.85","1262","883","409","62","26","98","154","61","57","0","4","34","189","129","253","268","178","0","0","-"
"274","Mark Scheifele","WPG","C","222","4568.4833333333","96","114","70","44","210","66.04","519","18.50","73.75","897","735","651","307","17","55","123","42","34","5","3","79","138","155","149","384","119","1612","1696","48.73"
"180","Mats Zuccarello","MIN","C, R","217","4180.8666666667","58","151","100","51","209","66.56","530","10.94","48.62","983","729","493","162","29","86","80","40","40","0","0","61","125","131","113","193","123","72","115","38.50"
"57","Claude Giroux","FLA, OTT, PHI","C, R","239","4619.0833333333","77","131","73","58","208","71.48","602","12.79","57.09","1042","808","524","229","49","74","86","43","43","0","0","68","119","133","183","172","73","2113","1476","58.87"
"140","Matt Duchene","DAL, NSH","C","229","4123.6","90","117","68","49","207","67.21","569","15.82","71.41","1049","814","652","264","29","73","90","37","36","0","1","42","195","102","88","245","100","616","500","55.20"
"780","Nico Hischier","N.J","C","222","4299.0666666667","79","128","77","51","207","65.71","592","13.34","83.59","1016","816","708","374","40","95","39","18","17","1","0","68","100","164","128","305","73","2406","2037","54.15"
"150","Chris Kreider","NYR","L","242","4512.0166666667","127","79","48","31","206","57.70","733","17.33","109.82","1234","1049","876","579","57","111","76","38","38","0","0","29","113","81","368","158","69","141","176","44.48"
"389","Pavel Buchnevich","STL","L","216","4147.15","83","123","71","52","206","66.67","529","15.69","64.44","921","741","582","246","37","57","116","46","43","0","3","43","122","128","154","197","64","154","305","33.55"
"790","Nick Suzuki","MTL","C","246","5155.3166666667","80","124","69","55","204","67.11","533","15.01","58.92","927","721","538","224","34","70","99","42","40","1","1","73","186","133","208","296","156","2051","2071","49.76"
"193","Brock Nelson","NYI","C","236","4267.15","107","96","61","35","203","68.58","643","16.64","74.24","1116","841","757","313","40","100","85","41","40","1","0","58","128","136","119","214","131","1322","1466","47.42"
"393","Carter Verhaeghe","FLA","C","235","4034.95","100","100","57","43","200","68.97","688","14.53","79.96","1282","923","778","304","29","112","126","62","62","0","0","51","142","137","142","370","57","76","78","49.35"
"83","Patrick Kane","CHI, DET, NYR","R","201","4030.5666666667","67","129","84","45","196","73.13","661","10.14","53.46","1151","861","527","150","11","50","50","24","24","0","0","33","140","87","38","125","54","5","5","50.00"
"478","Adrian Kempe","L.A","C, L, R","237","4445.6","104","92","49","43","196","68.77","743","14.00","74.97","1393","1025","692","233","43","103","173","74","71","1","2","75","106","89","342","203","49","44","70","38.60"
"547","Timo Meier","N.J, S.J","R","224","4201.8","103","91","53","38","194","70.04","861","11.96","88.5","1590","1229","875","345","44","144","142","64","61","2","1","71","147","141","427","335","64","83","101","45.11"
"21","Evgeni Malkin","PIT","C","205","3799.05","74","118","70","48","192","72.73","568","13.03","63.1","1021","751","605","231","22","100","176","77","75","0","2","73","209","213","103","225","84","975","1058","47.96"
"105","Erik Karlsson","PIT, S.J","D","214","5263.9666666667","46","146","79","67","192","57.31","539","8.53","31.01","1302","767","408","60","37","104","94","43","42","0","1","40","235","183","91","283","128","0","1","0.00"
"243","Vincent Trocheck","CAR, NYR","C","245","4790.9666666667","68","124","80","44","192","56.14","608","11.18","87.57","1156","949","802","395","30","97","191","84","78","5","1","74","142","155","542","360","163","2282","1749","56.61"
"291","Jonathan Marchessault","VGK","C, R","234","4106.2","100","92","57","35","192","72.18","751","13.32","80.96","1329","1006","684","244","51","99","97","43","41","1","1","26","113","125","244","297","55","70","110","38.89"
"204","Jeff Skinner","BUF","L","233","3924.25","92","99","66","33","191","64.31","715","12.87","85.94","1249","955","791","372","31","120","105","43","40","1","2","72","131","129","76","175","44","285","363","43.98"
"427","Elias Lindholm","CGY, VAN","C","237","4605.0666666667","79","111","63","48","190","60.13","596","13.26","75.39","1031","826","675","304","21","83","61","28","27","1","0","40","104","137","253","197","152","2451","2015","54.88"
"431","Bo Horvat","NYI, VAN","C","230","4590.4833333333","102","88","51","37","190","59.19","672","15.18","78.2","1089","901","732","308","32","75","97","43","41","1","1","47","106","105","214","188","136","2564","2015","55.99"
"565","Mathew Barzal","NYI","C","211","4011.5666666667","52","138","85","53","190","74.80","540","9.63","53.55","919","723","517","203","30","72","74","37","37","0","0","58","240","176","115","163","101","387","524","42.48"
"199","Vladimir Tarasenko","FLA, NYR, OTT, STL","R","220","3623.5666666667","75","112","63","49","187","70.30","554","13.54","58.67","999","757","591","189","23","81","52","22","21","0","1","38","84","59","243","231","114","8","12","40.00"
"900","Rasmus Dahlin","BUF","D","239","5993.5833333333","48","137","80","57","185","51.25","610","7.87","38.94","1174","817","359","69","20","75","226","104","102","0","2","68","156","114","421","439","360","0","0","-"
"65","Jamie Benn","DAL","L","246","3906.9166666667","72","112","57","55","184","66.43","536","13.43","71.85","943","726","581","297","23","85","163","64","56","7","1","65","128","141","350","194","137","1448","1020","58.67"
"731","Brandon Hagel","CHI, T.B","L","240","4348.85","81","102","71","31","183","66.06","487","16.63","70.44","873","671","598","278","43","53","164","67","62","2","3","87","120","199","186","522","81","72","127","36.18"
"434","Josh Morrissey","WPG","D","238","5717.8833333333","38","144","77","67","182","49.32","541","7.02","36.38","1193","808","387","71","14","64","151","69","67","1","1","60","164","107","329","256","299","0","0","-"
"476","Jared McCann","SEA","C, L","233","3825.65","96","86","51","35","182","74.90","625","15.36","60.37","1189","892","575","193","36","78","78","31","28","2","1","77","94","141","175","219","76","397","480","45.27"
"622","Troy Terry","ANA","C, R","221","4113.3666666667","80","102","59","43","182","72.80","552","14.49","65.94","1033","814","648","263","36","82","72","35","35","0","0","90","117","123","35","302","72","9","20","31.03"
"560","Travis Konecny","PHI","C, R","215","4106.3333333333","80","101","73","28","181","75.42","655","12.21","70.59","1231","936","658","263","38","99","221","77","67","3","7","88","84","109","225","296","98","80","108","42.55"
"327","Chandler Stephenson","VGK","C","235","4451.7666666667","53","127","63","64","180","65.45","342","15.50","46.03","571","458","368","187","22","44","77","29","26","1","2","49","80","145","185","351","132","1880","1587","54.23"
"561","Dylan Strome","CHI, WSH","C","232","4026.95","72","108","67","41","180","67.67","449","16.04","61.62","767","617","548","295","16","88","74","36","36","0","0","27","99","133","43","160","130","1685","1596","51.36"
"473","Nick Schmaltz","ARI","C","205","3906.3166666667","67","111","66","45","178","69.53","414","16.18","51.1","803","604","461","175","30","69","44","22","22","0","0","34","150","179","43","195","91","318","421","43.03"
"184","Tyler Toffoli","CGY, MTL, N.J, WPG","C, R","235","3908.4166666667","87","90","50","40","177","62.11","692","12.57","79.99","1239","955","671","266","40","90","56","26","26","0","0","38","98","100","215","176","45","52","65","44.44"
"471","Alex Tuch","BUF","R","199","3797.5333333333","70","106","64","42","176","62.19","549","12.75","64.86","947","785","548","244","53","61","88","37","34","2","1","38","94","186","158","124","168","83","120","40.89"
"894","Andrei Svechnikov","CAR","R","201","3503.15","72","104","60","44","176","65.43","598","12.04","74.41","1183","904","634","250","24","106","208","96","93","2","1","66","164","104","471","318","52","8","15","34.78"
"564","Brock Boeser","VAN","R","226","4101.3","81","93","51","42","174","57.05","577","14.04","80.27","1102","822","689","309","18","83","58","29","29","0","0","23","63","84","140","106","82","62","73","45.93"
"592","Joel Eriksson Ek","MIN","C","232","4492.7333333333","79","95","48","47","174","54.21","739","10.69","98.59","1153","974","728","477","33","115","132","62","61","0","1","78","43","111","425","342","140","2177","2276","48.89"
"1076","Lucas Raymond","DET","L","238","4230.45","71","103","51","52","174","66.41","481","14.76","55.97","843","625","530","229","23","68","70","34","34","0","0","83","88","107","174","354","69","21","37","36.21"
"838","Drake Batherson","OTT","R","210","3886.6333333333","67","105","73","32","172","67.72","556","12.05","70.61","1023","806","627","287","41","88","107","44","41","1","2","37","108","105","302","253","78","69","105","39.66"
"1006","Matt Boldy","MIN","L","203","3639.3833333333","75","96","57","39","171","62.87","595","12.61","65.11","1189","875","677","227","16","97","97","45","44","1","0","44","113","139","121","321","79","123","130","48.62"
"914","Noah Dobson","NYI","D","237","5243.5666666667","36","134","78","56","170","53.63","570","6.32","26.71","1329","831","322","41","29","86","74","37","37","0","0","34","193","98","222","409","422","0","0","-"
"142","Brayden Schenn","STL","C","226","4071.2","65","104","66","38","169","64.50","425","15.29","56.32","808","625","522","216","20","50","139","52","42","9","1","48","113","142","428","199","98","1211","1301","48.21"
"301","Morgan Rielly","TOR","D","219","5066.8666666667","21","146","81","65","167","44.18","520","4.04","26.99","986","706","315","63","23","67","88","37","34","2","1","23","202","87","260","384","300","0","0","-"
"505","Michael Bunting","CAR, PIT, TOR","L","242","3793.7333333333","65","102","69","33","167","61.17","517","12.57","75.17","926","737","644","354","19","103","240","96","89","2","5","124","108","123","219","269","59","16","25","39.02"
"214","Mikael Granlund","NSH, PIT, S.J","C","228","4486.3166666667","33","132","71","61","165","61.11","372","8.87","47.54","699","524","432","177","24","60","85","41","40","1","0","55","105","144","232","346","145","1232","1410","46.63"
"316","Tomas Hertl","S.J, VGK","C","215","4264.75","69","96","54","42","165","64.20","512","13.48","71.06","943","714","636","347","35","92","94","42","41","0","1","41","83","152","255","225","76","2126","1768","54.60"
"883","Evan Bouchard","EDM","D","244","4985.2833333333","38","127","48","79","165","44.72","581","6.54","30.49","1268","800","307","39","13","81","88","44","44","0","0","29","234","162","246","308","274","0","0","-"
"804","Martin Necas","CAR","C","237","4108.2333333333","66","98","66","32","164","65.86","630","10.48","57.99","1171","898","567","196","29","83","106","53","53","0","0","69","192","106","189","330","65","273","367","42.66"
"699","Pierre-Luc Dubois","L.A, WPG","C, L","236","4167.45","71","92","54","38","163","61.05","584","12.16","84.46","1059","868","742","399","29","85","253","113","109","1","3","120","119","83","279","382","118","1455","1554","48.35"
"802","Miro Heiskanen","DAL","D","220","5498.2666666667","25","138","74","64","163","48.22","524","4.77","33.57","1154","738","387","63","10","129","92","41","40","0","1","40","185","131","157","413","263","0","0","-"
"394","Oliver Bjorkstrand","CBJ, SEA","R","243","4028.05","68","93","49","44","161","68.80","599","11.35","67.84","1188","909","640","232","24","97","44","22","22","0","0","50","77","176","215","301","86","37","73","33.64"
"39","Kris Letang","PIT","D","224","5625.9666666667","32","128","62","66","160","45.98","539","5.94","26.79","1193","736","328","48","19","85","141","65","63","1","1","39","227","153","470","412","344","0","0","-"
"82","David Perron","DET, STL","L","225","3712.5166666667","68","92","47","45","160","60.84","523","13.00","56.34","930","698","508","153","18","65","145","67","65","1","1","54","62","108","298","195","58","19","30","38.78"
"216","Bryan Rust","PIT","R","203","3789.9333333333","72","88","51","37","160","60.84","587","12.27","79.23","1009","839","680","345","36","104","65","31","30","1","0","36","128","88","188","258","120","8","16","33.33"
