"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"441","Mathieu Olivier","CBJ","R","40","560.31666666667","10","6","1","5","16","72.73","47","21.28","5.73","86","64","51","34","4","7","79","26","17","9","0","18","23","11","146","41","46","9","15","37.50"
"496","Noah Cates","PHI","L","36","492.65","7","9","5","4","16","61.54","41","17.07","5.51","85","60","55","34","3","6","4","2","2","0","0","6","7","10","40","23","20","194","193","50.13"
"560","Paul Cotter","N.J","C","43","577.05","10","6","4","2","16","64.00","53","18.87","7.94","115","85","70","30","4","13","37","17","16","1","0","11","24","10","142","81","18","23","16","58.97"
"618","Jackson LaCombe","ANA","D","32","634.23333333333","8","8","6","2","16","51.61","57","14.04","3.96","110","75","41","15","3","13","4","2","2","0","0","1","30","17","23","60","52","0","0","-"
"701","Mason Lohrei","BOS","D","37","669.08333333333","1","15","5","10","16","48.48","34","2.94","1.78","98","55","30","3","2","7","8","4","4","0","0","8","45","16","8","59","42","0","0","-"
"731","Mason McTavish","ANA","C","33","543.01666666667","5","11","4","7","16","59.26","67","7.46","10.24","128","101","83","41","3","8","20","10","10","0","0","12","23","5","32","22","20","212","219","49.19"
"58","Oliver Ekman-Larsson","TOR","D","40","837.6","2","13","6","7","15","33.33","66","3.03","2.93","155","106","39","5","3","17","28","14","14","0","0","9","50","15","55","34","37","0","0","-"
"63","Chris Kreider","NYR","L","34","599.23333333333","13","2","0","2","15","44.12","92","14.13","13.4","145","124","97","56","6","7","18","9","9","0","0","2","15","5","52","12","11","14","28","33.33"
"71","Marcus Foligno","MIN","L","40","559.4","6","9","4","5","15","53.57","43","13.95","7.62","74","64","53","37","5","9","37","11","6","5","0","9","29","10","134","36","22","3","5","37.50"
"80","Nic Dowd","WSH","C","40","617.26666666667","10","5","4","1","15","53.57","51","19.61","7.82","88","68","64","39","9","9","40","16","15","0","1","6","21","14","76","50","39","296","320","48.05"
"145","Jonas Brodin","MIN","D","30","686.95","4","11","1","10","15","45.45","55","7.27","1.48","113","71","24","5","4","9","6","3","3","0","0","3","36","12","14","58","63","0","0","-"
"197","Josh Anderson","MTL","R","40","568.93333333333","6","9","6","3","15","71.43","54","11.11","6.77","105","86","76","31","10","12","44","19","17","2","0","10","20","7","91","29","21","17","7","70.83"
"202","Alexander Kerfoot","UTA","C","39","599.33333333333","6","9","6","3","15","75.00","53","11.32","7.11","89","73","44","27","6","10","6","3","3","0","0","10","33","13","18","61","26","124","128","49.21"
"226","Andre Burakovsky","SEA","L","38","562.55","3","12","9","3","15","62.50","54","5.56","5.42","112","81","68","22","5","7","6","3","3","0","0","4","16","8","17","50","16","2","0","100.00"
